Timestamp,UserID,UserName,Action,Detail
2025-12-07 07:40:15.052,478447089,Goddsha (Godsha),send file,433099.fb2:Ardashev_Bazovaya-podgotovka-specnaza.g4DyIg.433099.fb2.zip
2025-12-07 07:39:55.857,478447089,Goddsha (Godsha),send file,469362.fb2:469362.fb2
2025-12-07 07:38:21.186,478447089,Goddsha (Godsha),send file,469493.fb2:Popenko_Sekretnye-instrukcii-specnaza-GRU.LzFTGg.469493.fb2.zip
2025-12-07 07:36:30.085,478447089,Goddsha (Godsha),send file,428006.fb2:Ardashev_Uchebnik-vyzhivaniya-voyskovyh-razvedchikov.3cf1Xg.428006.fb2.zip
2025-12-07 07:36:26.324,6448378832,None (С С),searched for books by book info,краткая история мира в 12 бобах; count:1264
2025-12-07 07:34:50.373,478447089,Goddsha (Godsha),searched for books by book info,Серия выживание учись у спецназа; count:769
2025-12-07 07:31:54.335,478447089,Goddsha (Godsha),send file,437160.fb2:Molodan_Uchebnik-po-vyzhivaniyu-v-ekstremalnyh-situaciyah.kzjoNg.437160.fb2.zip
2025-12-07 07:30:47.244,6448378832,None (С С),viewed donate page,
2025-12-07 07:29:46.212,478447089,Goddsha (Godsha),send file,433583.fb2:Molodan_Avtonomnoe-vyzhivanie-v-ekstremalnyh-usloviyah-i-avtonomnaya-medicina.Xe8h-A.433583.fb2.zip
2025-12-07 07:26:06.378,478447089,Goddsha (Godsha),send file,433583.fb2
2025-12-07 07:23:37.030,478447089,Goddsha (Godsha),searched for books by book info,Игорь молодан; count:27
2025-12-07 07:19:04.220,478447089,Goddsha (Godsha),started bot,
2025-12-07 04:21:16.774,1163105441,BrazoLargo (Евгений),send file,600854.fb2:Bulychev_Andrey-Bryus_2_Podzemele-vedm.Ra6EIg.600854.fb2.zip
2025-12-07 04:20:37.217,1163105441,BrazoLargo (Евгений),changed page of books,1
2025-12-07 04:20:31.134,1163105441,BrazoLargo (Евгений),searched for books by book info,подземелье ведьм; count:244
2025-12-07 04:20:28.881,1163105441,BrazoLargo (Евгений),searched for books by book info,подземелье ведьм; count:244
2025-12-07 04:17:56.276,1163105441,BrazoLargo (Евгений),changed page of books,1
2025-12-07 04:16:31.727,1163105441,BrazoLargo (Евгений),searched for books by book info,жар птица; count:527
2025-12-07 04:15:55.076,1163105441,BrazoLargo (Евгений),searched for books by book info,подземелье ведьм; count:244
2025-12-07 04:15:27.054,1163105441,BrazoLargo (Евгений),showed help,
2025-12-07 04:15:04.526,1163105441,BrazoLargo (Евгений),started bot,
2025-12-07 04:13:08.933,627864405,gerasimovalesya (Олеся Герасимова),searched for books by book info,Виктория побединская; count:808
2025-12-07 04:09:51.657,706100885,prolistar (Sergey),send file,67998.fb2:Karnegi_Kak-perestat-bespokoitsya-i-nachat-zhit.rsm0BA.67998.fb2.zip
2025-12-07 04:00:14.784,706100885,prolistar (Sergey),searched for books by book info,Как перестать беспокоиться и начать жить; count:1580
2025-12-07 03:59:33.239,706100885,prolistar (Sergey),searched for books by book info,Как перестать беспокоиться; count:1564
2025-12-07 03:56:02.648,6092816375,Arty_lov (Arty Lov),send file,789911.fb2:Sitnikov_Karmacoach.2wksyg.789911.fb2.zip
2025-12-07 03:54:24.819,6092816375,Arty_lov (Arty Lov),changed page of books,0
2025-12-07 03:36:57.341,976064962,steflera (Стеф),send file,779848.fb2:Merfi_Shkola-Lankaster_1_Vse-chto-ya-hotela-skazat-i-ne-skazala.pFU9Hg.779848.fb2.zip
2025-12-07 03:33:07.941,6092816375,Arty_lov (Arty Lov),send file,634128.fb2:Sitnikov_Karmalogic.1i6IDA.634128.fb2.zip
2025-12-07 03:32:14.974,6092816375,Arty_lov (Arty Lov),send file,634226.fb2:Sitnikov_Karmamagic.MuapXw.634226.fb2.zip
2025-12-07 03:20:46.675,6092816375,Arty_lov (Arty Lov),send file,634226.fb2:Sitnikov_Karmamagic.MuapXw.634226.fb2.zip
2025-12-07 03:16:20.656,976064962,steflera (Стеф),searched for books by book info,Все что я хотела сказать; count:1304
2025-12-07 03:07:50.698,7008076661,Asmodey1103 (Скрам),send file,695875.fb2:Yullem_Psevdonim-Ispanec-_3_Znamena-Legiona.qW4tMQ.695875.fb2.zip
2025-12-07 02:54:44.573,6092816375,Arty_lov (Arty Lov),send file,789911.fb2
2025-12-07 02:26:14.405,981474871,Julia89pro (Julia),changed page of books,0
2025-12-07 02:26:06.050,981474871,Julia89pro (Julia),changed page of books,3
2025-12-07 02:25:46.409,981474871,Julia89pro (Julia),changed page of books,2
2025-12-07 02:25:23.148,981474871,Julia89pro (Julia),changed page of books,1
2025-12-07 02:19:59.573,981474871,Julia89pro (Julia),changed page of books,2
2025-12-07 02:19:41.481,981474871,Julia89pro (Julia),changed page of books,1
2025-12-07 02:19:33.591,981474871,Julia89pro (Julia),searched for books by book info,Мой темный принц; count:1477
2025-12-07 02:16:22.890,981474871,Julia89pro (Julia),send file,785924.fb2:Shen_Doroga-Temnogo-Princa_2_Moe-temnoe-zhelanie.1lqpZQ.785924.fb2.zip
2025-12-07 02:15:57.656,981474871,Julia89pro (Julia),changed page of books,0
2025-12-07 02:15:41.535,981474871,Julia89pro (Julia),changed page of books,1
2025-12-07 02:13:34.631,981474871,Julia89pro (Julia),searched for books by book info,Моё темное желание; count:1371
2025-12-07 02:12:16.105,981474871,Julia89pro (Julia),searched for books by book info,Дарк Прин роуд; count:112
2025-12-07 01:25:04.882,223126039,anet_mari (Anna Maria),send file,584329.fb2:Steynbek_Zima-trevogi-nashey.1d4afw.584329.fb2.zip
2025-12-07 01:23:53.996,223126039,anet_mari (Anna Maria),searched for books by book info,Зима тревоги нашей; count:828
2025-12-07 01:23:02.814,223126039,anet_mari (Anna Maria),viewed about,
2025-12-07 01:22:40.952,223126039,anet_mari (Anna Maria),started bot,
2025-12-07 01:18:08.752,5536727210,None (Казаринов Дмитрий),send file,136700.fb2:Chernenko_Shashki-dlya-vseh.136700.djvu
2025-12-07 01:17:31.799,5536727210,None (Казаринов Дмитрий),changed page of books,1
2025-12-07 01:17:03.197,5536727210,None (Казаринов Дмитрий),searched for books by book info,Русские шашки; count:214
2025-12-07 01:15:56.541,8592063514,None (🫆),searched for books by book info,Сделай шаг; count:1114
2025-12-07 01:15:01.594,8592063514,None (🫆),changed page of books,0
2025-12-07 01:14:58.377,8592063514,None (🫆),changed page of books,1
2025-12-07 01:14:55.919,8592063514,None (🫆),changed page of books,2
2025-12-07 01:14:41.682,8592063514,None (🫆),changed page of books,1
2025-12-07 01:13:20.403,8592063514,None (🫆),searched for books by book info,Алена Черничная; count:941
2025-12-07 01:12:02.838,8592063514,None (🫆),started bot,
2025-12-07 00:56:29.268,5536727210,None (Казаринов Дмитрий),send file,710888.fb2:Agafonov_Kurs-debyutov-Mezhdunarodnye-shashki.710888.djvu
